group_kind,group_id,row_label,gene,scores,log2fc,pvals,fdr,pct_in,pct_bg,delta_pct,marker_rank
small_cluster,18,cluster_18,Tpd52l1,17.796362,3.8254716,7.54108042102241e-71,3.7479169692481375e-68,0.5692307692307692,0.052322074788902294,0.5169086944418669,18
small_cluster,18,cluster_18,Selm,16.612806,3.052702,5.6296285818853805e-62,2.367475342859029e-59,0.5384615384615384,0.0517189384800965,0.4867425999814419,19
small_cluster,18,cluster_18,Ccl28,16.279753,4.299735,1.3742460680413877e-59,5.497319454133366e-57,0.26153846153846155,0.01281664656212304,0.24872181497633852,20
small_cluster,17,cluster_17,Ly6g6f,71.23361,10.861874,0.0,0.0,0.9387755102040817,0.0033338384603727837,0.9354416717437088,1
small_cluster,17,cluster_17,Trpm5,71.1447,11.342396,0.0,0.0,0.9489795918367347,0.003636914684043037,0.9453426771526917,2
small_cluster,17,cluster_17,Rgs13,70.807014,10.889042,0.0,0.0,0.8877551020408163,0.0024246097893620244,0.8853304922514543,3
small_cluster,17,cluster_17,Gnat3,70.221405,11.443327,0.0,0.0,0.8673469387755102,0.002273071677526898,0.8650738670979833,4
small_cluster,17,cluster_17,Sh2d6,65.30149,10.185132,0.0,0.0,0.8571428571428571,0.004394605243218669,0.8527482518996384,5
small_cluster,17,cluster_17,Hck,64.600136,10.317336,0.0,0.0,0.8367346938775511,0.004243067131383543,0.8324916267461675,6
small_cluster,17,cluster_17,Avil,61.385,9.68869,0.0,0.0,0.8979591836734694,0.008031519927261706,0.8899276637462077,7
small_cluster,17,cluster_17,Pik3r5,61.1745,10.29491,0.0,0.0,0.6938775510204082,0.0024246097893620244,0.6914529412310462,8
small_cluster,17,cluster_17,Matk,61.105507,9.727868,0.0,0.0,0.8061224489795918,0.005303833914229429,0.8008186150653624,9
small_cluster,17,cluster_17,Ovol3,60.729286,10.48573,0.0,0.0,0.7244897959183674,0.0033338384603727837,0.7211559574579945,10
small_cluster,17,cluster_17,1810046K07Rik,60.664394,9.930441,0.0,0.0,0.7040816326530612,0.0028792241248674043,0.7012024085281938,11
small_cluster,17,cluster_17,Sh2d7,60.619236,9.9791355,0.0,0.0,0.6836734693877551,0.0024246097893620244,0.6812488595983931,12
small_cluster,17,cluster_17,Fyb,60.118134,10.097152,0.0,0.0,0.6938775510204082,0.0028792241248674043,0.6909983268955407,13
small_cluster,17,cluster_17,Ltc4s,59.470367,11.168867,0.0,0.0,1.0,0.013638430065161388,0.9863615699348386,14
small_cluster,17,cluster_17,Nrgn,58.816402,10.410524,0.0,0.0,0.6224489795918368,0.0018184573420215184,0.6206305222498152,15
small_cluster,17,cluster_17,Vav1,57.857227,10.316753,0.0,0.0,0.6122448979591837,0.001969995453856645,0.610274902505327,16
small_cluster,17,cluster_17,Hmx2,57.795975,10.607257,0.0,0.0,0.5816326530612245,0.0013638430065161388,0.5802688100547083,17
small_cluster,17,cluster_17,Hepacam2,55.78577,8.432437,0.0,0.0,0.8775510204081632,0.011516896499469617,0.8660341239086936,18
small_cluster,17,cluster_17,Gng13,55.770145,11.140325,0.0,0.0,0.9693877551020408,0.01606303985452341,0.9533247152475174,19
small_cluster,17,cluster_17,Nkd1,55.50943,9.891638,0.0,0.0,0.5918367346938775,0.0024246097893620244,0.5894121249045156,20
small_cluster,16,cluster_16,Cdca3,47.346416,7.5543904,0.0,0.0,0.5952380952380952,0.008522294932278192,0.586715800305817,1
small_cluster,16,cluster_16,Birc5,45.475964,7.6995606,0.0,0.0,0.6349206349206349,0.012479074722264496,0.6224415601983704,2
small_cluster,16,cluster_16,Nusap1,45.33548,8.22741,0.0,0.0,0.42857142857142855,0.0030436767615279257,0.4255277518099006,3
small_cluster,16,cluster_16,Ckap2,44.556747,7.4069567,0.0,0.0,0.4603174603174603,0.004565515142291888,0.4557519451751684,4
small_cluster,16,cluster_16,Pbk,44.126663,7.720067,0.0,0.0,0.42063492063492064,0.003348044437680718,0.4172868761972399,5
small_cluster,16,cluster_16,Ccnb1,43.91965,8.031398,0.0,0.0,0.46825396825396826,0.00532643433267387,0.4629275339212944,6
small_cluster,16,cluster_16,Ccna2,43.545822,7.762877,0.0,0.0,0.4365079365079365,0.004261147466139096,0.4322467890417974,7
small_cluster,16,cluster_16,Ube2c,43.48302,8.039193,0.0,0.0,0.5793650793650794,0.011261604017653325,0.5681034753474261,8
small_cluster,16,cluster_16,Racgap1,42.82372,7.1547694,0.0,0.0,0.5396825396825397,0.009587581798812967,0.5300949578837267,9
small_cluster,16,cluster_16,Fam64a,42.523567,8.373364,0.0,0.0,0.36507936507936506,0.002282757571145944,0.3627966075082191,10
small_cluster,16,cluster_16,2810417H13Rik,42.179024,7.6629467,0.0,0.0,0.42063492063492064,0.004413331304215493,0.41622158933070513,11
small_cluster,16,cluster_16,Tk1,41.710796,6.669917,0.0,0.0,0.5714285714285714,0.012479074722264496,0.5589494967063069,12
small_cluster,16,cluster_16,Tpx2,41.342476,7.6966443,0.0,0.0,0.38095238095238093,0.003348044437680718,0.3776043365147002,13
small_cluster,16,cluster_16,Cdc20,41.10446,7.311719,0.0,0.0,0.6587301587301587,0.019783898949931517,0.6389462597802272,14
small_cluster,16,cluster_16,Cdca8,40.681324,6.8804398,0.0,0.0,0.5476190476190477,0.012174707046111703,0.535444340572936,15
small_cluster,16,cluster_16,Cdk1,40.599125,6.9259267,0.0,0.0,0.6031746031746031,0.016131486836098007,0.5870431163385051,16
small_cluster,16,cluster_16,Cdkn3,40.48139,7.6265717,0.0,0.0,0.36507936507936506,0.003195860599604322,0.36188350447976075,17
small_cluster,16,cluster_16,Cenpa,40.245598,7.1366377,0.0,0.0,0.5396825396825397,0.012174707046111703,0.527507832636428,18
small_cluster,16,cluster_16,Ccnb2,40.17954,6.894889,0.0,0.0,0.5555555555555556,0.013239993912646478,0.5423155616429091,19
small_cluster,16,cluster_16,Cenpf,39.609478,7.684439,0.0,0.0,0.3492063492063492,0.0030436767615279257,0.34616267244482124,20
small_cluster,15,cluster_15,Bpifb1,25.869438,5.8162117,1.4707067028074116e-147,2.412106063274436e-143,0.9887005649717514,0.2831288343558282,0.7055717306159233,1
small_cluster,15,cluster_15,Hp,22.963158,3.803085,1.0887341409052737e-116,8.928164322493696e-113,0.8813559322033898,0.2179447852760736,0.6634111469273162,2
small_cluster,15,cluster_15,Sftpa1,22.338419,3.9273808,1.564836753985339e-110,8.554962534037849e-107,0.8531073446327684,0.20398773006134968,0.6491196145714186,3
small_cluster,15,cluster_15,Muc5b,22.104738,3.0487728,2.8458589757019033e-108,1.1668733265121729e-104,0.9830508474576272,0.25337423312883434,0.7296766143287928,4
small_cluster,15,cluster_15,AU021092,21.612133,2.8628967,1.3812062917616004e-103,4.530632878236402e-100,0.9491525423728814,0.24723926380368097,0.7019132785692004,5
small_cluster,15,cluster_15,C3,21.21914,2.6910222,6.357866190226235e-100,1.7379227230983413e-96,0.7740112994350282,0.15322085889570553,0.6207904405393228,6
small_cluster,15,cluster_15,Slc12a2,20.949009,2.6096644,1.9157630714401497e-97,4.4886328763842706e-94,0.5988700564971752,0.09125766871165644,0.5076123877855188,7
small_cluster,15,cluster_15,Sult1c2,20.891775,4.2489944,6.361026030953783e-97,1.3040898491709125e-93,0.21468926553672316,0.011196319018404908,0.20349294651831826,8
small_cluster,15,cluster_15,Cldn22,20.080826,2.5394652,1.0857562718915575e-89,1.187165907686229e-86,0.8135593220338984,0.18236196319018405,0.6311973588437143,9
